stock,inter,topic
人民网[22.58/8.66%],新华网(30.28/-2.48%)[9];美亚柏科(26.57/13.06%)[9];川网传媒(19.3/-0.62%)[4];剑桥科技(45.5/10.01%)[3];浩瀚深度(33.21/2.69%)[2],AI[7];安全[3];审核[3];04[3];股票[3]
紫光股份[34.43/6.86%],浪潮信息(36.51/-3.03%)[3];中际旭创(67.1/-0.21%)[3];昆仑万维(49.5/-2.27%)[2];中芯国际(56.66/3.81%)[2];富春股份(9.6/-1.64%)[2],AI[3];更新[3];股票[2];加推[2];科技[2]
格力电器[37.03/-0.62%],美的集团(54.63/-0.11%)[2];海尔智家(22.0/-1.26%)[2];公牛集团(156.77/-0.65%)[2];科沃斯(80.9/0.61%)[2],
天齐锂业[77.35/-3.42%],赣锋锂业(65.84/-3.66%)[10];宁德时代(388.0/-2.69%)[8];中矿资源(69.05/-4.99%)[4];比亚迪(250.92/-1.95%)[3];TCL中环(47.23/-3.22%)[2],碳酸锂[2];中国[2];项目[2];年报[2];点评[2]
中文在线[22.15/-6.54%],拓尔思(33.6/-0.59%)[11];昆仑万维(49.5/-2.27%)[9];汤姆猫(8.55/-0.81%)[7];蓝色光标(9.2/-8.09%)[6];中国科传(19.1/-2.45%)[4],AI[7];游戏[3];最大[3];预期[3];行业[3]
南大光电[38.66/0.94%],露笑科技(9.18/-0.22%)[2];士兰微(38.05/1.41%)[2];三安光电(22.64/3.57%)[2],
隆基绿能[40.19/-1.08%],,光伏[6];通电[2];电池[2];价格[2]
通富微电[22.95/0.79%],长电科技(34.94/1.13%)[6];工业富联(17.41/-1.97%)[4];华天科技(10.5/0.57%)[2];海康威视(44.91/5.84%)[2],先进[3];封装[3];电子[2];年报[2];Chiplet[2]
用友网络[26.38/1.0%],浪潮软件(18.24/-0.65%)[2];神州数码(31.6/-3.33%)[2],ERP[2];产业[2]
比亚迪[250.92/-1.95%],天齐锂业(77.35/-3.42%)[4];传音控股(119.97/6.58%)[2],传音[3];20[3];科技[3];汽车[2];行业[2]
润和软件[30.53/0.73%],拓维信息(15.67/-6.62%)[10];软通动力(52.1/-5.41%)[8];四川长虹(5.04/-0.4%)[8];神州数码(31.6/-3.33%)[6];三六零(20.08/4.58%)[6],模型[8];盘古[5];华为[4];应用[4];数字[3]
中国卫通[22.88/1.96%],中国卫星(29.46/-0.67%)[3];荣盛石化(14.47/-3.02%)[2];浪潮信息(36.51/-3.03%)[2];三六零(20.08/4.58%)[2];拓维信息(15.67/-6.62%)[2],6G[2];卫星[2];需要[2]
中信证券[21.07/0.33%],常熟银行(7.49/-0.13%)[2];招商银行(34.28/-0.26%)[2],AI[3];GPT[3];华泰[2];金融[2];板块[2]
电科网安[43.16/5.78%],易华录(46.5/16.63%)[8];中国软件(70.09/-0.06%)[6];美亚柏科(26.57/13.06%)[6];三六零(20.08/4.58%)[5];太极股份(43.3/3.61%)[4],AI[4];数据安全[3];机会[3];安全[3];重组[3]
国民技术[18.96/-1.76%],拓尔思(33.6/-0.59%)[4];工业富联(17.41/-1.97%)[4];海光信息(85.88/1.27%)[4];易华录(46.5/16.63%)[4];江波龙(103.89/-2.54%)[2],存储芯片[3];MCU[2]
TCL中环[47.23/-3.22%],天齐锂业(77.35/-3.42%)[3];赣锋锂业(65.84/-3.66%)[3];宁德时代(388.0/-2.69%)[3];阳光电源(100.94/-4.68%)[2];隆基绿能(40.19/-1.08%)[2],光伏[5];硅片[5];持续[4];价格[3];石英砂[3]
软通动力[52.1/-5.41%],润和软件(30.53/0.73%)[12];拓维信息(15.67/-6.62%)[8];四川长虹(5.04/-0.4%)[6];特发信息(10.66/-1.3%)[5];创业黑马(31.98/-12.0%)[4],华为[7];模型[5];盘古[5];AI[3];技术[3]
温氏股份[21.89/6.26%],牧原股份(50.66/1.56%)[5];巨星农牧(35.34/5.94%)[4];唐人神(8.96/2.99%)[3],生猪[8];板块[8];农业[8];养殖[6];继续[3]
京山轻机[22.88/-4.79%],奥来德(61.31/3.42%)[3];捷佳伟创(116.66/-3.75%)[2];金晶科技(8.36/-5.0%)[2],钙钛矿[5];叠层[3];效率[3];设备[2];隆基[2]
泸州老窖[259.23/1.94%],,白酒[2];更新[2]
中兴通讯[32.52/0.74%],紫光股份(34.43/6.86%)[4];朗科科技(27.21/-6.43%)[2];石基信息(26.24/-3.92%)[2];中际旭创(67.1/-0.21%)[2];新易盛(61.7/6.01%)[2],看好[4];通信[4];算力[3];坚定[3];AI[2]
中国中免[178.04/-3.44%],,2022[5];年报[4];601888[3];免税[3];海南[3]
景嘉微[130.85/-4.64%],浪潮信息(36.51/-3.03%)[4];海光信息(85.88/1.27%)[3];龙芯中科(157.5/2.75%)[2];石英股份(133.1/-1.22%)[2],芯片[4];ChatGPT[3];核心[3];证券[2];300474[2]
立昂微[56.98/-1.89%],,
四维图新[14.98/2.67%],中科创达(119.12/8.44%)[3];世纪华通(6.5/0.78%)[2];完美世界(19.14/2.9%)[2];三七互娱(31.66/2.56%)[2];金山办公(486.51/-4.96%)[2],自动[4];驾驶[4];模型[4];AI[3];错过[2]
兆易创新[130.56/-0.74%],北京君正(110.24/9.91%)[18];江波龙(103.89/-2.54%)[8];深科技(18.82/2.34%)[5];三六零(20.08/4.58%)[5];澜起科技(74.0/3.45%)[5],半导体[5];存储芯片[5];行业[3];周期[3];迎来[3]
歌尔股份[22.38/2.57%],德赛电池(41.89/-3.55%)[2];比亚迪(250.92/-1.95%)[2];宁德时代(388.0/-2.69%)[2];立讯精密(30.77/0.62%)[2],AI[3];赋能[2];苹果[2]
北方华创[283.33/1.23%],中微公司(165.8/1.16%)[3];露笑科技(9.18/-0.22%)[2];士兰微(38.05/1.41%)[2];中芯国际(56.66/3.81%)[2],半导体[6];设备[6];日本[3];AI[2];朝闻[2]
中科创达[119.12/8.44%],四维图新(14.98/2.67%)[6];美亚柏科(26.57/13.06%)[4];三六零(20.08/4.58%)[3];剑桥科技(45.5/10.01%)[2];华工科技(30.75/10.02%)[2],模型[3];自动[2];驾驶[2];错过[2];AI[2]
中科曙光[41.16/-0.72%],浪潮信息(36.51/-3.03%)[10];拓维信息(15.67/-6.62%)[7];中国长城(13.44/-1.32%)[5];三六零(20.08/4.58%)[4];创业黑马(31.98/-12.0%)[4],AI[5];逻辑[4];算力[3];挖掘[3];催化[2]
三七互娱[31.66/2.56%],完美世界(19.14/2.9%)[10];世纪华通(6.5/0.78%)[7];吉比特(535.88/2.27%)[4];金山办公(486.51/-4.96%)[3];四维图新(14.98/2.67%)[3],AI[5];游戏[3];中国[3];腾讯[2];模型[2]
海光信息[85.88/1.27%],工业富联(17.41/-1.97%)[8];景嘉微(130.85/-4.64%)[8];拓尔思(33.6/-0.59%)[6];龙芯中科(157.5/2.75%)[6],芯片[5];浙商[3];算力[3];国产[3];证券[2]
中油资本[7.77/7.17%],荣盛石化(14.47/-3.02%)[5];岭南股份(3.83/-4.73%)[3];东华软件(8.36/-3.24%)[3];宇通客车(11.83/-5.96%)[3];陕西建工(4.73/1.94%)[2],跨境[4];支付[4];美元[3];巴西[3];公社[2]
鸿博股份[16.38/2.57%],三六零(20.08/4.58%)[2];海天瑞声(240.11/2.72%)[2],网格[3];累计[2];触发[2];数据[2]
中天科技[17.32/-1.93%],,
东方证券[10.6/-0.38%],,行业[2]
华工科技[30.75/10.02%],剑桥科技(45.5/10.01%)[10];新易盛(61.7/6.01%)[10];源杰科技(207.5/17.9%)[3];中科创达(119.12/8.44%)[3];亚太股份(7.86/-2.36%)[3],模块[9];04[3];800G[3];新易盛[3];AI[2]
大华股份[25.67/4.99%],昆仑万维(49.5/-2.27%)[4];海康威视(44.91/5.84%)[3];金山办公(486.51/-4.96%)[2];汤姆猫(8.55/-0.81%)[2];科大讯飞(65.9/-4.91%)[2],AI[4];行业[3];电子[2];逻辑[2];智能[2]
三六零[20.08/4.58%],昆仑万维(49.5/-2.27%)[25];剑桥科技(45.5/10.01%)[20];易华录(46.5/16.63%)[19];美亚柏科(26.57/13.06%)[16],市场[4];AI[3];烽火[2];通信[2];机构[2]
美亚柏科[26.57/13.06%],三六零(20.08/4.58%)[19];易华录(46.5/16.63%)[12];人民网(22.58/8.66%)[10];新华网(30.28/-2.48%)[8];电科网安(43.16/5.78%)[7],AI[6];安全[5];数字[3];关注[2];科技[2]
海康威视[44.91/5.84%],金山办公(486.51/-4.96%)[8];科大讯飞(65.9/-4.91%)[7];同花顺(226.97/-3.42%)[5];石基信息(26.24/-3.92%)[5];大华股份(25.67/4.99%)[5],AI[4];未来[2];板块[2];龙头[2]
