名称,代码,成交额,最新价,涨跌幅,60日涨跌幅,年初至今涨跌幅,dt
中文在线,300364,24.9,20.32,2.16,120.15,104.84,2023033014
TCL中环,2129,24.1,48.86,3.21,29.26,29.74,2023033014
北京君正,300223,22.4,89.1,5.53,24.18,26.49,2023033014
新易盛,300502,22.2,45.3,-0.02,95.09,90.74,2023033014
三安光电,600703,21.3,20.68,2.89,20.37,20.51,2023033014
中国中免,601888,21.1,186.73,2.3,-14.66,-13.56,2023033014
阳光电源,300274,21.0,105.25,0.6,-3.54,-5.86,2023033014
深科技,21,20.8,15.64,9.99,46.17,46.3,2023033014
石基信息,2153,19.0,24.17,5.09,62.43,61.24,2023033014
格力电器,651,18.6,37.26,3.07,18.02,18.97,2023033014
中天科技,600522,17.8,17.03,-0.53,7.31,5.45,2023033014
京山轻机,821,17.1,23.88,4.14,42.91,45.61,2023033014
沪电股份,2463,16.4,21.07,-0.38,78.26,77.06,2023033014
泸州老窖,568,16.0,255.79,0.87,14.04,14.05,2023033014
世纪华通,2602,15.6,5.46,1.87,45.21,43.31,2023033014
紫金矿业,601899,15.4,12.18,1.42,21.8,21.8,2023033014
药明康德,603259,15.4,81.3,1.45,2.74,0.37,2023033014
邮储银行,601658,15.1,4.8,3.23,4.35,3.9,2023033014
京东方Ａ,725,14.3,4.42,0.68,30.38,30.77,2023033014
天齐锂业,2466,14.1,76.39,1.45,-5.31,-3.29,2023033014
中微公司,688012,14.0,139.83,1.07,41.24,42.67,2023033014
西安饮食,721,13.9,15.96,7.84,-21.8,-7.75,2023033014
兖矿能源,600188,13.9,35.49,3.74,2.28,5.69,2023033014
恩捷股份,2812,13.9,114.46,1.65,-15.83,-12.82,2023033014
国民技术,300077,13.8,19.0,2.98,36.2,36.2,2023033014
新华网,603888,13.7,26.6,5.14,52.35,53.05,2023033014
生 意 宝,2095,13.0,25.21,9.28,-15.32,-8.33,2023033014
三变科技,2112,13.0,13.08,4.64,77.48,75.34,2023033014
中国建筑,601668,12.7,5.84,1.92,8.35,7.55,2023033014
士兰微,600460,12.7,35.94,0.14,7.77,9.61,2023033014
陕西煤业,601225,12.4,20.37,6.37,9.11,9.63,2023033014
亿纬锂能,300014,12.4,68.62,0.23,-22.77,-21.93,2023033014
中国中铁,601390,12.4,6.92,0.44,24.24,24.46,2023033014
闻泰科技,600745,12.2,55.53,0.25,4.03,5.61,2023033014
长安汽车,625,12.0,11.89,1.54,-3.8,-3.41,2023033014
金桥信息,603918,11.9,14.9,7.97,108.98,102.45,2023033014
中科曙光,603019,74.9,39.8,6.99,78.8,79.77,2023032914
浪潮信息,977,61.1,36.3,1.4,67.44,68.68,2023032914
科大讯飞,2230,59.1,58.92,1.17,77.84,79.47,2023032914
北方华创,2371,53.7,272.07,10.0,19.58,20.76,2023032914
景嘉微,300474,45.5,109.77,0.32,100.82,101.15,2023032914
汤姆猫,300459,42.0,7.48,4.03,138.98,137.46,2023032914
四川长虹,600839,39.8,4.46,4.69,68.3,68.94,2023032914
海光信息,688041,37.2,74.91,15.42,81.25,86.71,2023032914
金山办公,688111,37.0,441.0,9.97,71.54,66.74,2023032914
中际旭创,300308,34.5,55.4,2.95,105.57,104.96,2023032914
紫光国微,2049,34.3,104.36,1.7,-21.92,-20.83,2023032914
