stock,inter,topic
西安饮食[16.21/3.05%],紫光国微(115.44/-0.64%)[2],
常山北明[9.3/-3.23%],四川长虹(5.04/-0.4%)[7];润和软件(30.53/0.73%)[5];拓维信息(15.67/-6.62%)[5];三六零(20.08/4.58%)[4];神州数码(31.6/-3.33%)[3],华为[5];盘古[5];AI[4];风口[2];正宗[2]
全志科技[32.5/14.64%],瑞芯微(93.6/3.56%)[2];奋达科技(5.18/9.98%)[2];恒玄科技(155.32/9.53%)[2];炬芯科技(42.09/5.23%)[2];超讯通信(19.89/-0.6%)[2],芯片[5];算力[4];AI[4];边缘[3];人工智能[2]
润和软件[30.53/0.73%],拓维信息(15.67/-6.62%)[10];四川长虹(5.04/-0.4%)[10];软通动力(52.1/-5.41%)[10];三六零(20.08/4.58%)[8];神州数码(31.6/-3.33%)[6],模型[8];盘古[5];AI[4];华为[4];应用[4]
汤姆猫[8.55/-0.81%],昆仑万维(49.5/-2.27%)[13];三六零(20.08/4.58%)[9];中文在线(22.15/-6.54%)[6];蓝色光标(9.2/-8.09%)[5];拓尔思(33.6/-0.59%)[5],AI[6];逻辑[3];人工智能[3];亿嘉[2];牛股[2]
紫光国微[115.44/-0.64%],普冉股份(188.0/1.2%)[4];西安饮食(16.21/3.05%)[4];三六零(20.08/4.58%)[4];深科技(18.82/2.34%)[3];斯达半导(282.8/-1.28%)[2],科技[5];芯片[4];AI[4];产品[3];存储芯片[3]
浪潮信息[36.51/-3.03%],拓维信息(15.67/-6.62%)[8];三六零(20.08/4.58%)[4];中际旭创(67.1/-0.21%)[4];中国电信(6.97/6.9%)[4];工业富联(17.41/-1.97%)[4],算力[6];AI[5];数字[3];模型[3];打造[2]
拓尔思[33.6/-0.59%],三六零(20.08/4.58%)[13];易华录(46.5/16.63%)[8];海光信息(85.88/1.27%)[7];中文在线(22.15/-6.54%)[6];汤姆猫(8.55/-0.81%)[6],AI[5];模型[5];数字[3];中文[3];人工智能[2]
中航电测[52.94/6.52%],易华录(46.5/16.63%)[2],电科[2];一张[2];全面[2];形成[2];华录[2]
中国中免[178.04/-3.44%],,2022[5];年报[4];601888[3];免税[3];海南[3]
鸿博股份[16.38/2.57%],三六零(20.08/4.58%)[3];汉王科技(31.76/-3.41%)[2];中国电信(6.97/6.9%)[2];海天瑞声(240.11/2.72%)[2],网格[3];累计[2];触发[2];数据[2]
巨人网络[15.4/8.99%],完美世界(19.14/2.9%)[3];三七互娱(31.66/2.56%)[3];吉比特(535.88/2.27%)[3];世纪华通(6.5/0.78%)[3],游戏[4];04[2];AI[2];传媒[2];中国[2]
东方证券[10.6/-0.38%],,行业[2]
昆仑万维[49.5/-2.27%],汤姆猫(8.55/-0.81%)[17];三六零(20.08/4.58%)[17];世纪华通(6.5/0.78%)[8];蓝色光标(9.2/-8.09%)[7];中文在线(22.15/-6.54%)[6],AI[5];模型[4];人工智能[3];预期[2];最大[2]
金桥信息[16.17/-3.46%],石基信息(26.24/-3.92%)[6];卫宁健康(14.08/-4.22%)[6];创业黑马(31.98/-12.0%)[4];三江购物(14.3/-6.54%)[3];恒生电子(57.21/-0.63%)[3],阿里[4];AI[3];梳理[2];工作[2]
科大讯飞[65.9/-4.91%],石基信息(26.24/-3.92%)[5];海康威视(44.91/5.84%)[5];同花顺(226.97/-3.42%)[4];金山办公(486.51/-4.96%)[4];昆仑万维(49.5/-2.27%)[4],模型[8];AI[3];计算机行业[2];阿里[2];证券[2]
东方国信[14.42/-6.49%],三六零(20.08/4.58%)[9];昆仑万维(49.5/-2.27%)[8];四川长虹(5.04/-0.4%)[5];神州数码(31.6/-3.33%)[5],模型[6];华为[5];AI[4];生态[3];盘古[3]
中微公司[165.8/1.16%],北方华创(283.33/1.23%)[8];万业企业(20.09/1.16%)[3];蓝色光标(9.2/-8.09%)[2];天孚通信(61.29/1.26%)[2],半导体[5];电子[4];国产[4];2022[3];年报[3]
通富微电[22.95/0.79%],工业富联(17.41/-1.97%)[4];长电科技(34.94/1.13%)[3];海康威视(44.91/5.84%)[2];中国卫星(29.46/-0.67%)[2];国光电气(148.38/-4.2%)[2],先进[3];封装[3];电子[2];年报[2];Chiplet[2]
中国联通[5.7/2.52%],中国移动(97.19/4.82%)[4];中国电信(6.97/6.9%)[4],运营商[2]
国民技术[18.96/-1.76%],拓尔思(33.6/-0.59%)[4];工业富联(17.41/-1.97%)[4];海光信息(85.88/1.27%)[4];易华录(46.5/16.63%)[4];江波龙(103.89/-2.54%)[2],存储芯片[3];MCU[2]
中国中铁[7.68/10.03%],中国建筑(6.16/5.3%)[3];中国铁建(10.09/9.79%)[3];中国交建(11.65/9.29%)[3],一带[2];一路[2];建筑[2];04[2]
澜起科技[74.0/3.45%],兆易创新(130.56/-0.74%)[5];江波龙(103.89/-2.54%)[3];北京君正(110.24/9.91%)[2];佰维存储(61.34/19.99%)[2],存储[5];互联[3];半导体[2];炒作[2];芯片[2]
中文在线[22.15/-6.54%],昆仑万维(49.5/-2.27%)[12];拓尔思(33.6/-0.59%)[12];汤姆猫(8.55/-0.81%)[10];蓝色光标(9.2/-8.09%)[10];世纪华通(6.5/0.78%)[5],AI[7];游戏[3];最大[3];预期[3];行业[3]
深科技[18.82/2.34%],三六零(20.08/4.58%)[10];北京君正(110.24/9.91%)[7];江波龙(103.89/-2.54%)[6],存储芯片[3];半导体[3];AI[2];如何[2];04[2]
三安光电[22.64/3.57%],露笑科技(9.18/-0.22%)[5];南大光电(38.66/0.94%)[3];士兰微(38.05/1.41%)[3];天通股份(12.12/-0.98%)[2];中微公司(165.8/1.16%)[2],持续[3];科技[2];集成电路[2];SIC[2];一体化[2]
温氏股份[21.89/6.26%],牧原股份(50.66/1.56%)[10];巨星农牧(35.34/5.94%)[7];唐人神(8.96/2.99%)[5],生猪[8];板块[8];农业[8];养殖[6];继续[3]
三六零[20.08/4.58%],昆仑万维(49.5/-2.27%)[27];剑桥科技(45.5/10.01%)[17];美亚柏科(26.57/13.06%)[15];易华录(46.5/16.63%)[15],AI[4];人工智能[2];未来[2];云天[2];励飞[2]
天齐锂业[77.35/-3.42%],赣锋锂业(65.84/-3.66%)[5];宁德时代(388.0/-2.69%)[4];比亚迪(250.92/-1.95%)[3];中矿资源(69.05/-4.99%)[2],碳酸锂[2];中国[2];项目[2];年报[2];点评[2]
首都在线[18.76/2.12%],奥飞数据(15.52/-1.34%)[5];烽火通信(20.28/0.9%)[5];常山北明(9.3/-3.23%)[5];芯海科技(49.68/4.15%)[5],算力[6];AI[6];正宗[3];逻辑[3];人工智能[3]
完美世界[19.14/2.9%],三七互娱(31.66/2.56%)[17];世纪华通(6.5/0.78%)[13];吉比特(535.88/2.27%)[9];金山办公(486.51/-4.96%)[5];四维图新(14.98/2.67%)[5],AI[4];游戏[3];中国[3];腾讯[2];微软[2]
比亚迪[250.92/-1.95%],天齐锂业(77.35/-3.42%)[4];歌尔股份(22.38/2.57%)[2];德赛电池(41.89/-3.55%)[2];宁德时代(388.0/-2.69%)[2];传音控股(119.97/6.58%)[2],传音[3];20[3];科技[3];汽车[2];行业[2]
人民网[22.58/8.66%],美亚柏科(26.57/13.06%)[7];剑桥科技(45.5/10.01%)[4];新华网(30.28/-2.48%)[4];汉邦高科(6.69/1.36%)[2];易华录(46.5/16.63%)[2],AI[7];安全[3];审核[3];04[3];股票[3]
易华录[46.5/16.63%],三六零(20.08/4.58%)[21];拓尔思(33.6/-0.59%)[12];海光信息(85.88/1.27%)[10];美亚柏科(26.57/13.06%)[10];润和软件(30.53/0.73%)[8],关注[4];数据[4];数字[4];受益[2];经济[2]
中天科技[17.32/-1.93%],,
景嘉微[130.85/-4.64%],海光信息(85.88/1.27%)[6];浪潮信息(36.51/-3.03%)[4];江波龙(103.89/-2.54%)[2];龙芯中科(157.5/2.75%)[2],芯片[4];ChatGPT[3];核心[3];证券[2];300474[2]
中科曙光[41.16/-0.72%],浪潮信息(36.51/-3.03%)[8];拓维信息(15.67/-6.62%)[5];中国长城(13.44/-1.32%)[3];三六零(20.08/4.58%)[3];创业黑马(31.98/-12.0%)[3],AI[5];逻辑[4];算力[3];挖掘[3];催化[2]
用友网络[26.38/1.0%],蓝色光标(9.2/-8.09%)[2];岭南股份(3.83/-4.73%)[2];浪潮软件(18.24/-0.65%)[2];神州数码(31.6/-3.33%)[2],ERP[2];产业[2]
恒生电子[57.21/-0.63%],同花顺(226.97/-3.42%)[9];卫宁健康(14.08/-4.22%)[7];指南针(60.41/0.68%)[4];石基信息(26.24/-3.92%)[4];金桥信息(16.17/-3.46%)[4],AI[6];金融[6];IT[4];计算机[4];600570[3]
泸州老窖[259.23/1.94%],,白酒[2];更新[2]
紫金矿业[12.35/1.9%],,
中信证券[21.07/0.33%],常熟银行(7.49/-0.13%)[2];招商银行(34.28/-0.26%)[2],AI[3];GPT[3];华泰[2];金融[2];板块[2]
中芯国际[56.66/3.81%],北方华创(283.33/1.23%)[3];昆仑万维(49.5/-2.27%)[2];紫光股份(34.43/6.86%)[2];富春股份(9.6/-1.64%)[2];四川长虹(5.04/-0.4%)[2],半导体[5];AI[5];逻辑[4];国产[3];替代[3]
立昂微[56.98/-1.89%],景嘉微(130.85/-4.64%)[2];海光信息(85.88/1.27%)[2];北方华创(283.33/1.23%)[2];德明利(78.97/-3.1%)[2],
